date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1871-01-01,1,-1.1,-8.9,-5.0,0.0,0.0
1871-01-02,1,1.1,-10.6,-4.8,7.9,0.0
1871-01-03,1,-1.1,-6.1,-3.6,2.0,0.0
1871-01-04,1,-7.2,-17.8,-12.5,0.0,0.0
1871-01-05,1,3.9,-21.7,-8.9,3.0,0.0
1871-01-06,1,4.4,3.3,3.9,25.4,0.0
1871-01-07,1,-1.1,-12.2,-6.7,0.0,0.0
1871-01-08,1,-13.3,-17.2,-15.3,0.0,0.0
1871-01-09,1,-11.1,-16.1,-13.6,0.0,0.0
1871-01-10,1,-13.3,-18.3,-15.8,0.0,0.0
1871-01-11,1,-2.2,-14.4,-8.3,0.8,0.0
1871-01-12,1,-1.7,-3.3,-2.5,0.0,0.0
1871-01-13,1,2.2,-1.7,0.3,0.0,0.0
1871-01-14,1,2.2,1.7,2.0,0.0,0.0
1871-01-15,1,-1.7,-3.9,-2.8,0.0,0.0
1871-01-16,1,6.1,2.2,4.2,0.0,0.0
1871-01-17,1,0.0,-4.4,-2.2,22.9,0.0
1871-01-18,1,-7.2,-13.9,-10.6,0.0,0.0
1871-01-19,1,-10.6,-18.3,-14.5,0.0,0.0
1871-01-20,1,1.7,-11.7,-5.0,4.3,0.0
1871-01-21,1,0.0,-2.2,-1.1,0.0,0.0
1871-01-22,1,-3.9,-17.2,-10.6,4.6,0.0
1871-01-23,1,-22.8,-27.2,-25.0,0.0,0.0
1871-01-24,1,-17.2,-25.6,-21.4,3.8,0.0
1871-01-25,1,-15.6,-25.6,-20.6,0.0,0.0
1871-01-26,1,-21.1,-29.4,-25.3,0.0,0.0
1871-01-27,1,-11.7,-18.3,-15.0,20.6,0.0
1871-01-28,1,-12.2,-17.2,-14.7,0.0,0.0
1871-01-29,1,-10.0,-16.7,-13.4,2.3,0.0
1871-01-30,1,-2.8,-3.3,-3.1,0.0,0.0
1871-01-31,1,2.2,-5.6,-1.7,2.5,0.0
1871-02-01,1,5.0,-1.1,2.0,10.7,0.0
1871-02-02,1,1.1,-4.4,-1.7,2.3,0.0
1871-02-03,1,-9.4,-13.9,-11.7,0.0,0.0
1871-02-04,1,-15.0,-22.8,-18.9,0.0,0.0
1871-02-05,1,-18.3,-25.6,-22.0,0.0,0.0
1871-02-06,1,-11.1,-19.4,-15.3,0.0,0.0
1871-02-07,1,-6.7,-15.0,-10.9,0.0,0.0
1871-02-08,1,-2.8,-13.9,-8.4,0.0,0.0
1871-02-09,1,0.6,-2.8,-1.1,14.0,0.0
1871-02-10,1,0.0,-8.9,-4.5,2.5,0.0
1871-02-11,1,-12.2,-15.6,-13.9,0.0,0.0
1871-02-12,1,-10.6,-17.2,-13.9,0.0,0.0
1871-02-13,1,-5.6,-14.4,-10.0,0.0,0.0
1871-02-14,1,-4.4,-15.0,-9.7,0.0,0.0
1871-02-15,1,-3.3,-10.0,-6.7,0.0,0.0
1871-02-16,1,-1.1,-10.0,-5.6,3.8,0.0
1871-02-17,1,1.7,-5.0,-1.7,0.0,0.0
1871-02-18,1,-0.6,-2.8,-1.7,23.9,0.0
1871-02-19,1,-2.2,-7.2,-4.7,0.0,0.0
1871-02-20,1,-1.7,-7.8,-4.8,0.3,0.0
1871-02-21,1,-9.4,-13.9,-11.7,0.0,0.0
1871-02-22,1,-10.0,-17.8,-13.9,0.0,0.0
1871-02-23,1,-3.9,-12.2,-8.1,0.0,0.0
1871-02-24,1,1.7,-3.9,-1.1,0.0,0.0
1871-02-25,1,4.4,1.7,3.1,1.8,0.0
1871-02-26,1,3.3,-1.1,1.1,0.0,0.0
1871-02-27,1,2.8,0.6,1.7,7.4,0.0
1871-02-28,1,-3.3,-6.7,-5.0,0.0,0.0
1871-03-01,1,0.6,-2.2,-0.8,2.5,0.0
1871-03-02,1,2.8,-0.6,1.1,0.5,0.0
1871-03-03,1,5.0,1.1,3.1,15.2,0.0
1871-03-04,1,2.2,-2.8,-0.3,0.0,0.0
1871-03-05,1,-1.7,-6.1,-3.9,3.0,0.0
1871-03-06,1,1.1,-6.7,-2.8,0.0,0.0
1871-03-07,1,0.6,-4.4,-1.9,0.0,0.0
1871-03-08,1,-1.7,-8.3,-5.0,0.0,0.0
1871-03-09,1,1.1,-0.6,0.3,0.0,0.0
1871-03-10,1,5.0,1.7,3.4,4.6,0.0
1871-03-11,1,5.0,0.6,2.8,0.0,0.0
1871-03-12,1,7.8,5.0,6.4,0.0,0.0
1871-03-13,1,7.2,3.3,5.3,9.4,0.0
1871-03-14,1,2.8,0.6,1.7,0.0,0.0
1871-03-15,1,-0.6,-3.3,-2.0,0.0,0.0
1871-03-16,1,1.7,-6.7,-2.5,0.0,0.0
1871-03-17,1,0.6,-1.7,-0.6,6.9,0.0
1871-03-18,1,7.8,1.1,4.5,0.0,0.0
1871-03-19,1,4.4,-3.3,0.6,0.0,0.0
1871-03-20,1,-6.7,-6.7,-6.7,0.0,0.0
1871-03-21,1,2.8,-1.7,0.6,0.0,0.0
1871-03-22,1,3.3,0.6,2.0,26.4,0.0
1871-03-23,1,2.8,-2.8,0.0,0.0,0.0
1871-03-24,1,-1.1,-5.6,-3.4,0.8,0.0
1871-03-25,1,-0.6,-6.7,-3.7,0.0,0.0
1871-03-26,1,4.4,-1.7,1.4,0.0,0.0
1871-03-27,1,0.6,-5.0,-2.2,0.0,0.0
1871-03-28,1,-1.7,-6.7,-4.2,26.4,0.0
1871-03-29,1,1.7,-7.2,-2.8,0.0,0.0
1871-03-30,1,4.4,-3.3,0.6,0.0,0.0
1871-03-31,1,6.1,-2.8,1.7,0.0,0.0
