year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
1871,331,7.18,0.63,3.92,1004.55,19.75,-13.65,33.4,120.4,58.2,20.9,14.88,-5.32,14.88,-5.33,300.0,155.75,300.0,262.5,0.1814,930.86,167.0,183.15
1872,366,8.71,0.03,4.38,1436.0,22.5,-14.89,37.39,194.35,56.15,22.2,-0.58,-7.57,16.28,-7.57,467.7,309.15,320.95,309.15,0.3815,1063.6305,164.0,275.96
1873,365,8.81,-1.27,3.78,1018.43,23.33,-16.4,39.73,133.57,41.88,27.46,-1.12,8.12,15.54,-7.63,280.0,198.48,261.4,278.55,0.3071,1036.406,163.0,230.04
1874,365,9.2,-0.97,4.12,1053.96,22.53,-14.65,37.18,136.55,47.67,26.52,7.12,-0.12,15.88,-6.6,321.24,222.72,237.54,272.46,0.2955,1010.695,158.0,206.17000000000002
1875,365,8.1,-2.47,2.82,1147.76,24.07,-19.72,43.79,178.21,43.34,24.96,16.19,8.13,16.19,-10.94,317.65,235.11,317.65,294.56,0.3938,1179.0394,158.0,262.56
1876,366,8.68,-1.27,3.71,1144.59,24.23,-16.48,40.71,150.68,51.07,26.92,-1.14,16.14,16.14,-8.51,379.29,217.93,217.93,317.25,0.3136,1089.5163,165.0,269.62
1877,365,9.88,-0.69,4.6,1054.08,24.25,-19.96,44.21,158.2,38.11,29.7,-8.23,9.37,16.8,-8.23,308.26,231.4,273.96,308.26,0.4298,1066.0562,154.0,304.24
1878,365,10.08,0.64,5.37,1120.65,23.12,-15.56,38.68,125.2,38.21,26.99,1.56,-6.94,16.67,-6.94,320.44,247.0,278.78,247.0,0.2894,1023.3942,153.0,319.57
1879,365,8.7,-1.54,3.59,1093.84,22.03,-15.41,37.44,118.76,69.55,26.36,15.05,-1.17,15.05,-7.94,305.62,257.61,305.62,267.86,0.1756,1032.2094,157.0,224.35
1880,366,9.7,-0.68,4.52,932.91,24.12,-13.85,37.97,103.87,43.99,32.71,16.61,9.06,16.61,-7.47,281.64,175.85,281.64,223.6,0.2408,1048.0745,154.0,314.19
1881,365,9.4,0.08,4.75,1126.22,21.99,-16.39,38.38,168.1,33.21,26.73,16.35,0.78,16.35,-6.33,361.75,216.95,361.75,281.5,0.4099,961.5236,160.0,210.86
1882,365,9.01,-1.13,3.95,1075.62,23.49,-16.46,39.95,150.75,53.02,27.58,-8.04,0.39,16.19,-8.04,333.87,195.58,257.49,333.87,0.3252,1048.4056,167.0,204.53
1883,365,8.87,-2.11,3.38,990.76,22.65,-19.89,42.54,117.27,46.73,28.66,-0.25,15.63,15.63,-10.62,268.61,223.94,223.94,229.6,0.3141,1118.6518,158.0,274.18
1884,366,9.09,-1.2,3.96,1194.84,22.92,-18.21,41.13,172.96,53.53,30.54,15.44,-8.13,15.44,-8.13,313.89,282.78,313.89,282.78,0.3913,1018.8829,164.0,260.0
1885,365,9.51,-1.17,4.18,1121.93,23.0,-15.96,38.96,116.06,78.3,30.44,1.0,9.28,15.35,-9.16,322.44,247.09,253.77,298.63,0.142,1042.2548,157.0,292.69
1886,365,9.94,-0.77,4.59,1061.7,23.31,-14.09,37.4,170.38,16.7,26.9,-6.85,9.42,15.52,-6.85,337.48,180.89,260.57,337.48,0.4717,995.1779,157.0,275.91
1887,365,9.37,-1.55,3.91,1141.53,23.89,-19.13,43.02,168.68,38.72,32.54,-9.33,8.82,15.74,-9.33,388.02,227.21,257.76,388.02,0.372,1086.3465,155.0,292.59000000000003
1888,366,8.76,-1.28,3.75,1216.86,22.91,-18.57,41.48,213.1,40.18,26.11,0.24,8.04,14.97,-8.34,483.09,185.44,282.29,266.03,0.4507,1010.6436,161.0,246.44
1889,365,10.88,0.66,5.78,965.64,22.4,-16.1,38.5,117.04,50.26,24.81,0.92,16.6,16.6,-5.57,319.45,191.43,191.43,254.17,0.2741,989.342,141.0,386.94
1890,365,9.07,-1.28,3.9,1179.11,23.87,-17.44,41.31,163.75,42.0,30.82,-7.46,-1.55,16.25,-7.46,339.01,237.8,290.29,339.01,0.3527,1070.8332,160.0,204.77
1891,365,10.43,-0.02,5.21,1065.18,22.7,-15.08,37.78,158.15,42.14,26.84,-6.51,8.84,16.36,-6.51,330.3,158.74,313.34,330.3,0.3837,945.5856,159.0,248.22
1892,366,9.74,-0.02,4.87,1057.79,24.12,-12.0,36.12,178.14,42.35,27.05,-5.8,8.71,16.14,-5.8,329.87,211.23,293.43,329.87,0.5223,944.139,161.0,230.5
1893,365,9.44,-1.26,4.1,996.07,23.52,-17.91,41.43,146.51,34.59,26.55,15.93,8.87,15.93,-9.18,326.12,180.06,326.12,216.97,0.4424,1117.268,155.0,313.53000000000003
1894,365,9.74,-0.66,4.55,860.52,23.75,-17.21,40.96,112.5,34.48,29.47,0.69,8.98,15.83,-7.5,270.14,193.65,202.6,194.14,0.2836,1026.5219,157.0,276.54
1895,365,10.59,-0.07,5.27,1051.55,23.22,-14.13,37.35,199.18,38.91,26.43,1.37,10.55,15.88,-6.95,355.98,187.52,274.91,233.15,0.5139,980.0901,149.0,363.31
1896,366,9.77,-0.69,4.55,915.63,23.94,-14.69,38.63,125.34,24.9,23.87,-0.11,9.49,15.95,-7.21,265.08,133.54,264.88,252.13,0.5157,1023.4556,153.0,291.93
1897,365,9.9,-0.23,4.85,968.2,24.02,-14.29,38.31,145.31,22.32,27.49,8.74,1.05,16.1,-6.71,279.42,222.69,233.19,232.89,0.4487,969.7874,158.0,230.10999999999999
1898,365,10.62,0.32,5.48,1046.79,24.24,-18.41,42.65,144.8,42.3,29.92,1.6,16.57,16.57,-5.79,357.73,202.84,202.84,251.11,0.4,1000.738,150.0,307.19
1899,365,10.33,-0.19,5.08,972.39,22.94,-14.82,37.76,148.69,24.38,31.54,-7.19,9.55,15.96,-7.19,307.95,173.08,242.01,307.95,0.4478,981.8186,153.0,285.87
1900,365,10.8,-0.15,5.33,1193.83,23.51,-13.77,37.28,195.47,45.24,34.44,1.5,16.56,16.56,-5.91,365.58,205.79,205.79,354.0,0.4127,985.6647,158.0,263.87
1901,365,11.11,0.69,5.91,963.42,24.89,-14.3,39.19,135.43,48.0,27.0,10.68,17.41,17.41,-6.53,275.07,169.89,169.89,258.8,0.3622,1022.9702,147.0,352.83
1902,365,10.62,0.73,5.69,1083.36,23.2,-12.64,35.84,203.01,41.33,28.79,-3.92,16.51,16.51,-3.92,347.89,214.59,214.59,347.89,0.4638,922.1933,159.0,219.81
1903,365,9.89,0.02,4.96,1091.34,21.97,-14.0,35.97,146.73,42.2,28.94,-5.28,15.51,15.51,-5.28,332.98,208.94,208.94,332.98,0.343,950.3074,153.0,264.51
1904,366,8.94,-1.35,3.8,1055.94,24.31,-17.26,41.57,138.74,47.58,25.19,15.96,-1.48,15.96,-9.08,326.26,221.38,326.26,281.46,0.3026,1137.5292,149.0,318.59
1905,365,9.89,-0.85,4.53,900.39,24.4,-17.62,42.02,140.43,25.07,27.92,-8.66,9.14,16.19,-8.66,255.14,189.87,227.99,255.14,0.497,1041.9422,159.0,240.07
1906,365,10.81,0.31,5.57,1055.46,25.19,-12.4,37.59,134.28,44.85,27.03,9.12,16.99,16.99,-4.77,303.7,149.52,149.52,303.59,0.356,971.4636,160.0,258.94
1907,365,9.33,-0.51,4.42,1071.99,22.12,-17.15,39.27,115.4,51.21,26.76,15.79,-8.69,15.79,-8.69,321.82,214.86,321.82,214.86,0.2471,1012.5099,165.0,241.07
1908,366,10.8,-0.2,5.31,880.17,25.46,-13.96,39.42,103.71,30.51,28.06,-6.27,16.91,16.91,-6.27,250.54,193.03,193.03,250.54,0.3186,1019.0885,152.0,334.77
