date,lat,lon,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1870-01-01,46.15,-60.2,1,1.7,-5.0,-1.7,0.0,0.0
1870-01-02,46.15,-60.2,1,0.6,-7.8,-3.6,14.0,0.0
1870-01-03,46.15,-60.2,1,10.0,-1.1,4.5,11.9,0.0
1870-01-04,46.15,-60.2,1,8.3,1.1,4.7,2.3,0.0
1870-01-05,46.15,-60.2,1,4.4,-2.2,1.1,2.5,0.0
1870-01-06,46.15,-60.2,1,0.6,-5.0,-2.2,1.8,0.0
1870-01-07,46.15,-60.2,1,7.8,-1.7,3.1,12.2,0.0
1870-01-08,46.15,-60.2,1,3.3,-2.8,0.3,1.3,0.0
1870-01-09,46.15,-60.2,1,3.3,-7.2,-2.0,11.2,0.0
1870-01-10,46.15,-60.2,1,-3.3,-10.6,-7.0,10.2,0.0
1870-01-11,46.15,-60.2,1,3.9,-3.9,0.0,7.6,0.0
1870-01-12,46.15,-60.2,1,0.6,-5.0,-2.2,19.8,0.0
1870-01-13,46.15,-60.2,1,3.3,-10.0,-3.4,10.7,0.0
1870-01-14,46.15,-60.2,1,-10.0,-13.9,-12.0,11.4,0.0
1870-01-15,46.15,-60.2,1,-3.3,-13.9,-8.6,1.8,0.0
1870-01-16,46.15,-60.2,1,8.3,-5.6,1.4,11.9,0.0
1870-01-17,46.15,-60.2,1,2.2,-5.6,-1.7,0.3,0.0
1870-01-18,46.15,-60.2,1,10.6,0.6,5.6,0.3,0.0
1870-01-19,46.15,-60.2,1,2.2,-3.3,-0.6,0.0,0.0
1870-01-20,46.15,-60.2,1,2.2,-7.2,-2.5,5.1,0.0
1870-01-21,46.15,-60.2,1,5.6,-2.2,1.7,21.8,0.0
1870-01-22,46.15,-60.2,1,2.2,-10.6,-4.2,0.5,0.0
1870-01-23,46.15,-60.2,1,6.1,-11.1,-2.5,17.5,0.0
1870-01-24,46.15,-60.2,1,6.1,-5.6,0.3,0.0,0.0
1870-01-25,46.15,-60.2,1,1.1,-6.1,-2.5,41.1,0.0
1870-01-26,46.15,-60.2,1,8.3,0.6,4.5,0.0,0.0
1870-01-27,46.15,-60.2,1,8.9,1.1,5.0,0.0,0.0
1870-01-28,46.15,-60.2,1,3.9,-6.1,-1.1,0.0,0.0
1870-01-29,46.15,-60.2,1,-3.3,-11.1,-7.2,0.0,0.0
1870-01-30,46.15,-60.2,1,2.8,-5.6,-1.4,26.7,0.0
1870-01-31,46.15,-60.2,1,-3.3,-17.8,-10.6,0.5,0.0
1870-02-01,46.15,-60.2,1,1.1,-20.6,-9.8,30.5,0.0
1870-02-02,46.15,-60.2,1,-2.8,-13.9,-8.4,3.6,0.0
1870-02-03,46.15,-60.2,1,-7.2,-13.3,-10.3,0.8,0.0
1870-02-04,46.15,-60.2,1,-12.2,-18.3,-15.3,0.8,0.0
1870-02-05,46.15,-60.2,1,-3.9,-18.9,-11.4,0.0,0.0
1870-02-06,46.15,-60.2,1,-0.6,-16.1,-8.4,0.0,0.0
1870-02-07,46.15,-60.2,1,-2.2,-8.3,-5.3,0.0,0.0
1870-02-08,46.15,-60.2,1,0.0,-15.0,-7.5,0.0,0.0
1870-02-09,46.15,-60.2,1,3.3,-5.0,-0.9,37.1,0.0
1870-02-10,46.15,-60.2,1,1.7,-3.9,-1.1,1.3,0.0
1870-02-11,46.15,-60.2,1,1.1,-7.2,-3.1,0.0,0.0
1870-02-12,46.15,-60.2,1,1.7,-15.0,-6.7,0.0,0.0
1870-02-13,46.15,-60.2,1,5.0,-5.6,-0.3,14.0,0.0
1870-02-14,46.15,-60.2,1,-5.6,-11.7,-8.7,0.0,0.0
1870-02-15,46.15,-60.2,1,5.6,-10.0,-2.2,23.4,0.0
1870-02-16,46.15,-60.2,1,5.0,-6.1,-0.6,32.5,0.0
1870-02-17,46.15,-60.2,1,-6.1,-13.9,-10.0,0.3,0.0
1870-02-18,46.15,-60.2,1,-2.2,-18.3,-10.3,0.0,0.0
1870-02-19,46.15,-60.2,1,3.3,-15.0,-5.9,0.8,0.0
1870-02-20,46.15,-60.2,1,3.3,0.6,2.0,14.5,0.0
1870-02-21,46.15,-60.2,1,3.9,0.0,2.0,1.8,0.0
1870-02-22,46.15,-60.2,1,2.2,-3.3,-0.6,2.3,0.0
1870-02-23,46.15,-60.2,1,1.1,-9.4,-4.2,0.0,0.0
1870-02-24,46.15,-60.2,1,5.0,-6.7,-0.9,17.3,0.0
1870-02-25,46.15,-60.2,1,7.8,0.6,4.2,35.3,0.0
1870-02-26,46.15,-60.2,1,1.7,-4.4,-1.4,3.0,0.0
1870-02-27,46.15,-60.2,1,4.4,-1.7,1.4,0.3,0.0
1870-02-28,46.15,-60.2,1,2.2,-0.6,0.8,3.0,0.0
1870-03-01,46.15,-60.2,1,5.6,0.6,3.1,34.3,0.0
1870-03-02,46.15,-60.2,1,7.2,0.6,3.9,0.8,0.0
1870-03-03,46.15,-60.2,1,2.8,-3.3,-0.3,0.0,0.0
1870-03-04,46.15,-60.2,1,-0.6,-4.4,-2.5,0.0,0.0
1870-03-05,46.15,-60.2,1,0.0,-5.0,-2.5,1.0,0.0
1870-03-06,46.15,-60.2,1,-0.6,-5.0,-2.8,0.0,0.0
1870-03-07,46.15,-60.2,1,-2.2,-8.9,-5.6,0.0,0.0
1870-03-08,46.15,-60.2,1,0.0,-11.7,-5.9,5.8,0.0
1870-03-09,46.15,-60.2,1,1.1,-3.9,-1.4,27.4,0.0
1870-03-10,46.15,-60.2,1,-0.6,-6.1,-3.4,0.0,0.0
1870-03-11,46.15,-60.2,1,-2.2,-10.0,-6.1,0.0,0.0
1870-03-12,46.15,-60.2,1,-7.2,-18.9,-13.1,0.0,0.0
1870-03-13,46.15,-60.2,1,-3.3,-23.9,-13.6,0.0,0.0
1870-03-14,46.15,-60.2,1,-0.6,-18.9,-9.8,0.8,0.0
1870-03-15,46.15,-60.2,1,1.7,-5.0,-1.7,3.3,0.0
1870-03-16,46.15,-60.2,1,1.7,-3.9,-1.1,0.0,0.0
1870-03-17,46.15,-60.2,1,1.7,-8.3,-3.3,3.3,0.0
1870-03-18,46.15,-60.2,1,0.6,-1.1,-0.3,22.6,0.0
