date,lat,lon,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
2014-10-02,47.97,-84.79,2,19.2,11.05,15.15,8.4,7.13
2014-10-03,42.28,-82.96,1,20.8,9.7,15.3,21.2,7.25
2014-10-04,42.28,-82.96,1,9.7,5.3,7.5,6.8,0.0
2014-10-05,42.28,-82.96,1,12.5,5.4,9.0,0.0,0.95
2014-10-06,42.28,-82.96,1,16.8,6.3,11.6,2.2,3.55
2014-10-07,42.28,-82.96,1,15.2,6.4,10.8,1.6,2.8
2014-10-08,42.28,-82.96,1,16.0,6.1,11.1,0.0,3.05
2014-10-09,42.28,-82.96,1,15.3,3.8,9.6,0.0,1.55
2014-10-10,42.28,-82.96,1,14.3,5.1,9.7,0.0,1.7
2014-10-11,42.28,-82.96,1,13.4,3.0,8.2,0.0,0.2
2014-10-12,42.28,-82.96,1,15.6,0.9,8.3,0.0,0.25
2014-10-13,42.28,-82.96,1,22.2,7.9,15.1,8.8,7.05
2014-10-14,42.28,-82.96,1,21.6,14.3,18.0,18.4,9.95
2014-10-15,42.28,-82.96,1,18.7,12.7,15.7,0.4,7.7
2014-10-16,42.28,-82.96,1,19.0,11.4,15.2,0.0,7.2
2014-10-17,42.28,-82.96,1,17.6,9.8,13.7,0.6,5.7
2014-10-18,42.28,-82.96,1,10.1,5.4,7.8,0.2,0.0
2014-10-19,42.28,-82.96,1,11.0,-0.5,5.3,0.0,0.0
2014-10-20,42.28,-82.96,1,14.2,8.5,11.4,1.6,3.35
2014-10-21,42.28,-82.96,1,9.5,6.9,8.2,0.4,0.2
2014-10-22,42.28,-82.96,1,13.3,4.2,8.8,0.0,0.75
2014-10-23,42.28,-82.96,1,14.6,2.6,8.6,0.0,0.6
2014-10-24,42.28,-82.96,1,16.6,1.9,9.3,0.0,1.25
2014-10-25,42.28,-82.96,1,20.1,7.9,14.0,0.0,6.0
2014-10-26,42.28,-82.96,1,15.7,3.5,9.6,0.0,1.6
2014-10-27,42.28,-82.96,1,22.7,-0.2,11.3,0.0,3.25
2014-10-28,42.28,-82.96,1,19.2,9.2,14.2,8.8,6.2
2014-10-29,42.28,-82.96,1,11.1,6.1,8.6,0.0,0.6
2014-10-30,42.28,-82.96,1,10.0,4.0,7.0,0.0,0.0
2014-10-31,42.28,-82.96,1,7.6,2.1,4.9,7.2,0.0
2014-11-01,42.28,-82.96,1,5.7,0.0,2.9,0.2,0.0
2014-11-02,42.28,-82.96,1,8.1,-2.7,2.7,0.0,0.0
2014-11-03,42.28,-82.96,1,15.1,4.3,9.7,0.0,1.7
2014-11-04,42.28,-82.96,1,13.7,6.3,10.0,1.2,2.0
2014-11-06,42.28,-82.96,2,8.55,2.5,5.55,8.6,0.0
2014-11-07,42.28,-82.96,2,3.75,-0.8,1.5,0.5,0.0
2014-11-08,42.28,-82.96,2,5.85,1.85,3.85,6.4,0.0
2014-11-09,42.28,-82.96,2,5.85,-0.4,2.75,5.2,0.0
2014-11-10,42.28,-82.96,2,10.55,1.75,6.2,0.6,0.0
2014-11-11,42.28,-82.96,2,14.6,3.4,9.05,2.8,1.0
2014-11-12,42.28,-82.96,2,3.45,-0.6,1.45,1.4,0.0
2014-11-13,51.66,-85.9,2,-0.75,-8.45,-4.65,5.3,0.0
2014-11-14,51.66,-85.9,2,-4.2,-11.55,-7.9,0.0,0.0
2014-11-15,42.28,-82.96,3,-1.9,-8.1333,-5.0333,2.4,0.0
2014-11-16,42.28,-82.96,3,-1.7667,-5.4333,-3.6333,5.4667,0.0
