year,lat,lon,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
2014,47.97,-84.79,90,4.94,-2.89,1.02,193.57,15.45,-8.44,23.89,86.6,29.38,39.47,1.02,1.02,1.02,1.02,193.57,193.57,193.57,193.57,0.2033,363.194,27.0,
2015,51.66,-85.9,365,10.41,-0.59,4.92,744.02,25.13,-24.61,49.74,103.45,24.43,20.75,10.15,-12.95,18.12,-12.95,245.9,96.8,206.41,96.8,0.3701,1269.1506,146.0,362.13
2016,52.93,-82.43,366,11.14,0.46,5.81,788.68,26.27,-14.33,40.6,101.81,45.1,22.17,18.64,9.81,18.64,-6.69,254.95,147.09,254.95,210.33,0.3136,1121.2059,148.0,396.37
2017,42.28,-82.96,365,10.5,0.15,5.33,901.67,25.09,-15.68,40.77,101.84,53.67,17.44,10.72,-5.98,17.32,-5.98,264.3,176.51,253.43,176.51,0.2047,1095.7857,149.0,380.45
2018,42.28,-82.96,365,9.22,-1.29,3.96,786.06,27.02,-16.79,43.81,94.04,16.57,22.94,17.86,-9.57,17.86,-9.57,244.73,120.45,244.73,120.45,0.346,1228.5861,146.0,452.47
2019,54.99,-85.44,365,7.78,-2.85,2.47,867.13,25.18,-21.86,47.04,125.5,45.2,24.06,16.09,-11.99,16.09,-11.99,276.17,155.34,276.17,155.34,0.3578,1211.6045,165.0,224.05
2020,51.66,-85.9,366,9.34,-1.25,4.05,760.79,26.99,-16.53,43.52,96.03,24.83,19.49,17.01,-8.15,17.01,-8.15,265.19,132.06,265.19,132.06,0.3654,1109.044,148.0,366.16
2021,54.99,-85.44,365,10.17,-0.57,4.8,713.42,24.48,-19.18,43.66,104.94,21.76,16.67,16.79,-8.28,16.79,-8.28,252.58,87.32,252.58,87.32,0.4037,1126.6645,152.0,350.35
2022,54.99,-85.44,365,9.13,-1.98,3.57,754.14,24.08,-22.55,46.63,82.45,28.98,26.29,16.51,-11.86,16.51,-11.86,223.63,133.89,223.63,133.89,0.2382,1227.9033,149.0,341.77
2023,54.99,-85.44,365,10.15,-0.8,4.68,693.45,24.03,-16.83,40.86,88.02,36.3,20.26,16.35,-8.63,16.35,-8.63,212.17,142.6,212.17,142.6,0.3616,1066.3883,150.0,373.99
2024,54.99,-85.44,366,11.0,0.33,5.67,784.5,25.2,-13.0,38.2,102.16,30.07,18.77,10.55,-6.65,17.53,-6.65,264.13,127.7,216.43,127.7,0.318,1049.6698,148.0,364.86
2025,54.99,-85.44,127,-0.92,-12.09,-6.51,214.35,13.37,-18.0,31.37,72.48,14.85,30.0,-10.26,2.61,2.61,-10.26,127.02,87.33,87.33,127.02,0.3197,549.0152,,
