date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip
1871-07-01,1,28.3,13.3,20.8,0.0
1871-07-02,1,26.1,19.4,22.8,0.0
1871-07-03,1,28.9,11.7,20.3,0.0
1871-07-04,1,26.7,17.2,22.0,0.0
1871-07-05,1,27.8,16.7,22.3,19.6
1871-07-06,1,28.3,16.7,22.5,0.0
1871-07-07,1,23.3,20.6,22.0,19.1
1871-07-08,1,30.0,16.7,23.4,0.0
1871-07-09,1,26.7,21.1,23.9,1.0
1871-07-10,1,24.4,15.0,19.7,0.0
1871-07-11,1,26.1,18.3,22.2,0.0
1871-07-12,1,27.8,18.9,23.4,3.3
1871-07-13,1,35.0,20.6,27.8,0.0
1871-07-14,1,31.1,22.2,26.7,3.8
1871-07-15,1,30.0,17.8,23.9,0.0
1871-07-16,1,26.7,14.4,20.6,0.0
1871-07-17,1,27.2,15.6,21.4,2.5
1871-07-18,1,20.6,14.4,17.5,29.0
1871-07-19,1,22.8,14.4,18.6,0.0
1871-07-20,1,25.0,14.4,19.7,10.2
1871-07-21,1,24.4,14.4,19.4,0.0
1871-07-22,1,20.6,15.0,17.8,21.3
1871-07-23,1,27.2,15.0,21.1,16.5
1871-07-24,1,28.3,15.0,21.7,0.0
1871-07-25,1,28.9,17.2,23.1,0.0
1871-07-26,1,26.1,16.7,21.4,0.0
1871-07-27,1,21.7,17.8,19.8,0.0
1871-07-28,1,20.6,17.8,19.2,0.0
1871-07-29,1,26.7,16.7,21.7,0.0
1871-07-30,1,23.9,20.0,22.0,0.0
1871-07-31,1,20.6,19.4,20.0,0.0
1871-08-01,1,27.2,12.2,19.7,0.0
1871-08-02,1,30.6,18.3,24.5,0.0
1871-08-03,1,28.9,17.8,23.4,0.0
1871-08-04,1,29.4,20.6,25.0,0.0
1871-08-05,1,31.1,16.7,23.9,12.7
1871-08-06,1,30.0,17.2,23.6,0.0
1871-08-07,1,32.2,20.0,26.1,3.3
1871-08-08,1,23.3,21.1,22.2,18.5
1871-08-09,1,28.3,17.2,22.8,7.1
1871-08-10,1,31.1,17.2,24.2,0.0
1871-08-11,1,31.7,18.3,25.0,0.0
1871-08-12,1,28.3,15.6,22.0,0.0
1871-08-13,1,29.4,16.1,22.8,0.0
1871-08-14,1,26.1,16.7,21.4,0.0
1871-08-15,1,30.6,18.3,24.5,0.0
1871-08-16,1,30.6,22.2,26.4,11.7
1871-08-17,1,27.8,18.3,23.1,11.7
1871-08-18,1,16.7,15.6,16.2,6.9
1871-08-19,1,21.7,11.7,16.7,0.0
1871-08-20,1,16.7,12.8,14.8,0.0
1871-08-21,1,27.8,13.9,20.9,0.0
1871-08-22,1,27.2,14.4,20.8,0.0
1871-08-23,1,28.3,20.0,24.2,0.0
1871-08-24,1,30.6,19.4,25.0,7.1
1871-08-25,1,27.8,17.2,22.5,0.0
1871-08-26,1,22.8,16.7,19.8,0.5
1871-08-27,1,17.8,16.7,17.3,11.9
1871-08-28,1,20.0,13.9,17.0,2.3
1871-08-29,1,24.4,18.3,21.4,0.0
1871-08-30,1,22.2,18.3,20.3,1.8
1871-08-31,1,21.1,15.0,18.1,0.0
1871-09-01,1,26.7,13.3,20.0,0.0
1871-09-02,1,29.4,12.8,21.1,0.0
1871-09-03,1,29.4,17.2,23.3,0.0
1871-09-04,1,31.7,18.9,25.3,0.0
1871-09-05,1,32.2,19.4,25.8,0.0
1871-09-06,1,32.8,20.0,26.4,2.8
1871-09-07,1,26.7,13.9,20.3,0.0
1871-09-08,1,23.3,8.9,16.1,0.0
1871-09-09,1,27.2,11.7,19.5,0.0
1871-09-10,1,22.8,14.4,18.6,0.0
1871-09-11,1,24.4,10.6,17.5,0.0
1871-09-12,1,25.6,12.2,18.9,0.0
1871-09-13,1,21.7,9.4,15.6,0.0
1871-09-14,1,21.7,4.4,13.1,0.0
1871-09-15,1,12.8,7.2,10.0,0.0
1871-09-16,1,11.7,10.0,10.9,3.6
1871-09-17,1,21.1,8.9,15.0,0.8
1871-09-18,1,17.8,4.4,11.1,0.0
1871-09-19,1,17.8,8.9,13.4,3.0
1871-09-20,1,13.3,7.2,10.3,0.5
1871-09-21,1,13.9,3.3,8.6,0.0
1871-09-22,1,20.0,3.9,12.0,0.0
1871-09-23,1,16.1,9.4,12.8,0.0
1871-09-24,1,26.1,15.6,20.9,0.0
1871-09-25,1,19.4,12.2,15.8,0.0
1871-09-26,1,13.9,11.7,12.8,20.3
1871-09-27,1,15.0,10.0,12.5,0.0
1871-09-28,1,12.2,9.4,10.8,2.0
1871-09-29,1,11.1,7.2,9.2,0.0
1871-09-30,1,20.6,3.9,12.3,0.0
1871-10-01,1,12.8,6.1,9.5,0.5
1871-10-02,1,17.2,9.4,13.3,0.0
1871-10-03,1,13.3,10.6,12.0,6.1
1871-10-04,1,16.1,10.0,13.1,10.9
1871-10-05,1,17.2,7.8,12.5,2.3
1871-10-06,1,20.0,7.8,13.9,0.0
1871-10-07,1,15.0,8.9,12.0,0.0
1871-10-08,1,11.7,4.4,8.1,0.0
1871-10-09,1,21.7,8.9,15.3,0.0
1871-10-10,1,28.3,12.8,20.6,0.0
1871-10-11,1,13.3,12.8,13.1,2.0
1871-10-12,1,8.3,7.2,7.8,9.1
1871-10-13,1,16.1,6.7,11.4,0.0
1871-10-14,1,14.4,8.3,11.4,0.0
1871-10-15,1,18.3,10.6,14.5,13.7
1871-10-16,1,16.1,3.3,9.7,0.0
1871-10-17,1,11.7,6.1,8.9,0.0
1871-10-18,1,5.6,2.8,4.2,0.5
1871-10-19,1,2.8,-0.6,1.1,5.3
1871-10-20,1,7.8,1.7,4.8,0.0
1871-10-21,1,11.7,-1.1,5.3,0.0
1871-10-22,1,21.7,10.6,16.2,0.0
1871-10-23,1,23.3,8.9,16.1,0.0
1871-10-24,1,9.4,4.4,6.9,0.0
1871-10-25,1,13.3,2.2,7.8,0.0
1871-10-26,1,15.0,8.9,12.0,10.2
1871-10-27,1,13.9,6.7,10.3,24.6
1871-10-28,1,7.2,4.4,5.8,0.0
1871-10-29,1,11.1,3.9,7.5,0.0
1871-10-30,1,5.0,0.0,2.5,0.0
1871-10-31,1,17.2,3.9,10.6,0.0
1871-11-01,1,6.7,2.2,4.5,30.5
1871-11-02,1,3.9,-0.6,1.7,0.0
1871-11-03,1,11.1,-1.1,5.0,0.0
1871-11-04,1,9.4,-2.8,3.3,0.0
1871-11-05,1,1.7,-3.9,-1.1,0.0
1871-11-06,1,2.2,-2.8,-0.3,0.0
1871-11-07,1,3.3,-3.3,0.0,0.0
1871-11-08,1,3.3,1.1,2.2,0.8
1871-11-09,1,9.4,-1.1,4.2,0.0
1871-11-10,1,2.8,-1.1,0.9,0.0
1871-11-11,1,3.9,0.0,2.0,5.8
1871-11-12,1,9.4,-6.1,1.7,0.0
1871-11-13,1,2.8,-6.1,-1.7,0.0
1871-11-14,1,5.0,-3.3,0.9,0.0
1871-11-15,1,3.3,1.7,2.5,8.1
1871-11-16,1,1.7,0.0,0.9,11.9
1871-11-17,1,11.1,-2.8,4.2,0.0
1871-11-18,1,10.6,-0.6,5.0,0.0
1871-11-19,1,0.6,0.0,0.3,0.0
1871-11-20,1,7.2,-1.1,3.1,1.0
1871-11-21,1,5.6,2.8,4.2,1.5
