year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_avg_total_precip
1871,184,14.55,6.06,10.32,2.66
1872,366,11.95,2.44,7.2,2.87
1873,365,10.84,1.68,6.27,2.87
1874,365,9.59,0.71,5.16,2.69
1875,365,7.69,-1.54,3.08,2.74
1876,366,8.86,-0.25,4.31,2.6
1877,365,9.75,0.49,5.13,2.43
1878,365,10.04,1.12,5.59,2.88
1879,365,8.35,-1.48,3.44,2.75
1880,366,9.25,-0.96,4.15,2.5
1881,365,8.82,-0.46,4.18,2.27
1882,365,8.02,-1.49,3.27,2.62
1883,365,7.45,-2.69,2.39,2.53
1884,366,7.71,-1.72,3.0,2.78
1885,365,7.31,-2.45,2.43,2.49
1886,365,8.32,-1.49,3.42,2.55
1887,365,7.72,-2.03,2.85,2.51
1888,366,6.87,-2.11,2.38,3.0
1889,365,8.72,-0.42,4.16,2.74
1890,365,7.7,-2.0,2.85,2.77
1891,365,9.11,-0.21,4.46,2.49
1892,366,8.39,-0.28,4.06,2.73
1893,365,7.93,-1.38,3.28,2.65
1894,365,8.69,-0.64,4.03,2.27
1895,365,8.76,-0.47,4.15,2.52
1896,366,7.91,-1.16,3.38,2.55
1897,365,7.8,-1.47,3.17,2.35
1898,365,8.41,-0.42,4.0,2.41
1899,365,7.17,-1.26,2.96,2.23
1900,365,8.42,-1.12,3.66,2.65
1901,365,8.78,-0.5,4.15,2.39
1902,365,8.32,-0.7,3.82,2.69
1903,365,7.98,-1.38,3.3,2.25
1904,366,6.64,-2.53,2.06,2.63
1905,365,7.93,-1.94,3.0,2.12
1906,365,8.32,-1.32,3.5,2.25
1907,365,7.02,-2.03,2.5,2.68
1908,366,8.62,-1.69,3.47,2.31
1909,365,8.49,-1.09,3.71,2.65
1910,365,8.49,-1.24,3.63,2.4
1911,365,8.62,-2.43,3.1,2.1
1912,366,7.18,-3.39,1.9,2.64
1913,365,9.24,-1.78,3.74,2.46
1914,365,8.13,-3.48,2.33,2.07
1915,365,9.51,-1.09,4.22,2.17
1916,366,8.42,-2.47,2.98,2.5
1917,365,6.96,-3.71,1.63,2.64
1918,365,7.96,-2.89,2.54,2.74
1919,365,8.64,-2.09,3.28,2.45
1920,366,8.73,-2.21,3.26,2.52
1921,365,9.69,-1.73,3.99,2.18
1922,365,9.0,-2.63,3.19,2.24
1923,365,8.24,-3.69,2.28,2.47
1924,366,8.16,-3.02,2.58,2.63
1925,365,8.19,-2.71,2.74,2.51
1926,365,7.04,-4.02,1.51,2.35
1927,365,8.62,-2.0,3.32,2.76
1928,366,7.9,-2.46,2.72,2.66
1929,365,7.61,-2.97,2.33,2.7
1930,365,8.93,-1.59,3.68,2.43
1931,365,10.04,-0.84,4.61,2.39
1932,366,8.72,-2.03,3.35,2.76
1933,365,8.21,-2.79,2.71,2.53
1934,365,7.59,-3.19,2.21,2.38
1935,365,8.0,-2.64,2.69,2.35
1936,366,7.81,-2.62,2.6,2.97
1937,365,9.61,-1.07,4.28,2.68
1938,365,9.14,-1.71,3.72,2.7
1939,365,7.78,-2.59,2.6,2.68
1940,366,7.74,-2.34,2.71,2.5
1941,365,8.73,-1.81,3.47,2.52
1942,365,8.65,-1.81,3.43,2.63
1943,365,7.05,-3.24,1.91,2.6
1944,366,8.41,-2.17,3.12,2.3
1945,365,8.19,-1.87,3.16,2.79
1946,365,8.52,-2.39,3.07,2.55
1947,365,8.35,-2.22,3.07,2.65
1948,366,8.49,-2.63,2.94,2.26
1949,365,8.94,-2.05,3.45,2.49
1950,365,8.1,-2.88,2.61,2.71
1951,365,8.62,-2.09,3.27,2.85
1952,366,9.1,-1.47,3.82,2.81
1953,365,9.85,-1.03,4.42,2.41
1954,365,7.94,-2.25,2.85,3.23
1955,365,8.64,-2.06,3.3,2.45
1956,366,7.57,-3.17,2.21,2.43
1957,365,8.65,-2.4,3.13,2.62
1958,365,7.97,-2.31,2.84,2.79
1959,365,8.46,-2.49,2.99,2.61
1960,366,8.82,-1.63,3.6,2.58
1961,365,8.58,-1.69,3.45,2.5
1962,365,7.94,-2.8,2.58,2.57
1963,365,8.02,-2.72,2.66,2.66
1964,366,8.45,-2.21,3.13,2.51
1965,365,7.64,-2.79,2.43,2.62
1966,365,8.7,-1.43,3.64,2.75
1967,365,7.88,-2.62,2.64,2.74
1968,366,8.13,-2.14,3.0,2.49
1969,365,8.39,-1.23,3.59,2.83
1970,365,8.11,-2.24,2.94,2.6
1971,365,8.29,-2.21,3.04,2.81
1972,366,7.12,-3.39,1.87,3.15
