year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
1871,184,14.55,6.06,10.32,489.5,26.51,-11.04,37.55,126.3,33.0,24.69,19.83,0.81,19.83,0.81,254.8,234.7,254.8,234.7,0.2523,812.3523,7.0,12.8
1872,366,11.95,2.44,7.2,1049.5,27.45,-14.11,41.56,162.8,36.1,20.02,0.01,14.19,21.06,-6.53,367.0,140.4,332.7,209.4,0.4601,1257.329,129.0,642.2
1873,365,10.84,1.68,6.27,1046.45,26.48,-13.45,39.93,168.5,35.9,18.31,-0.06,12.54,18.91,-6.52,329.7,188.7,220.95,307.1,0.4602,1163.9836,142.0,523.4
1874,365,9.59,0.71,5.16,980.1,25.07,-14.72,39.79,137.45,42.0,16.56,-7.34,-0.36,18.54,-7.34,278.9,166.65,266.15,278.9,0.3844,1169.7037,148.0,415.4
1875,365,7.69,-1.54,3.08,999.74,24.64,-18.59,43.23,153.46,27.8,18.2,16.58,-11.42,16.58,-11.42,351.14,169.0,351.14,169.0,0.4394,1273.3514,146.0,431.27
1876,366,8.86,-0.25,4.31,952.08,25.52,-15.85,41.37,114.92,42.8,19.39,-8.0,-2.54,17.04,-8.0,264.1,201.01,262.48,264.1,0.2971,1185.8915,153.0,428.85
1877,365,9.75,0.49,5.13,885.68,25.13,-18.2,43.33,117.58,36.62,21.42,0.3,10.5,17.4,-7.9,251.31,189.6,205.18,239.59,0.3565,1089.3223,148.0,386.52
1878,365,10.04,1.12,5.59,1049.48,25.13,-16.48,41.61,125.59,28.24,22.71,0.34,-7.09,17.68,-7.09,354.02,187.7,268.64,187.7,0.3696,1103.125,144.0,402.61
1879,365,8.35,-1.48,3.44,1004.1,23.32,-16.93,40.25,115.5,43.48,22.34,15.43,9.23,15.43,-9.97,288.13,207.9,288.13,241.28,0.3151,1163.8911,149.0,332.71
1880,366,9.25,-0.96,4.15,915.06,23.92,-14.57,38.49,135.34,44.24,31.15,-2.09,-7.91,16.36,-7.91,268.87,202.51,228.56,202.51,0.3282,1106.5404,148.0,386.0
1881,365,8.82,-0.46,4.18,827.96,22.57,-17.59,40.16,94.2,43.08,22.44,-0.18,7.96,16.73,-8.0,240.87,161.84,236.41,188.84,0.2479,1050.0827,152.0,236.83
1882,365,8.02,-1.49,3.27,955.19,22.59,-17.65,40.24,123.78,43.09,26.47,15.74,-0.51,15.74,-8.99,327.74,169.42,327.74,240.08,0.3757,1070.5302,169.0,185.48
1883,365,7.45,-2.69,2.39,923.22,22.25,-20.33,42.58,123.32,27.68,26.63,15.26,-12.4,15.26,-12.4,247.22,203.85,247.22,203.85,0.3416,1183.4949,160.0,270.96
1884,366,7.71,-1.72,3.0,1017.74,22.78,-20.09,42.87,137.82,58.54,24.03,15.67,8.96,15.67,-10.73,294.69,208.33,294.69,250.01,0.2487,1145.9449,160.0,280.39
1885,365,7.31,-2.45,2.43,909.48,23.13,-19.12,42.25,116.91,44.0,26.63,-1.0,-12.67,14.95,-12.67,273.13,174.52,245.82,174.52,0.3198,1169.4184,149.0,271.66
1886,365,8.32,-1.49,3.42,931.35,22.11,-17.26,39.37,113.3,20.43,24.51,15.19,9.37,15.19,-9.59,317.19,182.67,317.19,210.35,0.3588,1099.2906,154.0,274.22
1887,365,7.72,-2.03,2.85,917.43,24.38,-20.09,44.47,126.57,27.37,27.03,-11.43,8.89,15.52,-11.43,272.33,168.64,218.46,272.33,0.3356,1184.6178,148.0,334.37
1888,366,6.87,-2.11,2.38,1099.11,22.38,-20.49,42.87,157.54,46.61,22.46,14.46,-11.02,14.46,-11.02,330.68,216.83,330.68,216.83,0.3174,1108.1388,161.0,264.05
